exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
b58213a3420b4a3a8fe4b53fbbee610f,captcha_pre,100,21,female,2026-03-06T10:11:37.256,2026-03-06T10:11:42.198,4.942,10,1,Click on the images containing bicycles.,"[""Chimney (101).jpg"", ""Cross (73).jpg"", ""Bicycle (497).jpg"", ""Palm (60).jpg"", ""Bicycle (495).jpg"", ""Cross (37).jpg"", ""Bicycle (291).jpg"", ""Tlight (85).jpg"", ""Stair (1098).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[2, 4, 6]","[""Bicycle (497).jpg"", ""Bicycle (495).jpg"", ""Bicycle (291).jpg""]",746,10,9,10,submit,
b58213a3420b4a3a8fe4b53fbbee610f,captcha_pre,100,21,female,2026-03-06T10:11:43.207,2026-03-06T10:11:47.222,4.015,11,1,Click on the images containing bicycles.,"[""Bicycle (613).jpg"", ""Bicycle (653).jpg"", ""Bridge (132).jpg"", ""Palm (3).jpg"", ""Car (115).jpg"", ""Bicycle (626).jpg"", ""Hydrant (93).jpg"", ""Cross (52).jpg"", ""Car (39).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 1, 5]","[""Bicycle (613).jpg"", ""Bicycle (653).jpg"", ""Bicycle (626).jpg""]",743,11,10,10,submit,
b58213a3420b4a3a8fe4b53fbbee610f,captcha_pre,100,21,female,2026-03-06T10:11:43.207,2026-03-06T10:11:48.235,5.028,11,,Click on the images containing bicycles.,[],[],[],[],743,11,10,10,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
b58213a3420b4a3a8fe4b53fbbee610f,q_pre_captcha,100,21,female,2026-03-06T10:11:48.250,2026-03-06T10:15:01.026,192.776,,,,,,,,,,,,submit,"{""captcha_task_meaningfulness"": ""4"", ""general_captcha_liking"": ""5"", ""captcha_task_difficulty"": ""5"", ""captcha_task_enjoyment"": ""5"", ""captcha_task_fun"": ""5""}"
b58213a3420b4a3a8fe4b53fbbee610f,q_pre_idaq,100,21,female,2026-03-06T10:15:01.040,2026-03-06T10:18:29.576,208.536,,,,,,,,,,,,submit,"{""idaq_4"": ""7"", ""idaq_26"": ""2"", ""idaq_19"": ""8"", ""idaq_8"": ""5"", ""idaq_28"": ""6"", ""idaq_18"": ""6"", ""idaq_30"": ""5"", ""idaq_1"": ""5"", ""idaq_27"": ""5"", ""idaq_7"": ""1"", ""idaq_15"": ""1"", ""idaq_21"": ""1"", ""idaq_22"": ""5"", ""idaq_29"": ""8"", ""idaq_10"": ""5"", ""idaq_6"": ""9"", ""idaq_13"": ""1"", ""idaq_3"": ""5"", ""idaq_2"": ""5"", ""idaq_14"": ""1"", ""idaq_9"": ""1"", ""idaq_23"": ""1"", ""idaq_11"": ""4"", ""idaq_17"": ""4"", ""idaq_25"": ""4"", ""idaq_16"": ""8"", ""idaq_5"": ""1"", ""idaq_20"": ""8"", ""idaq_24"": ""7"", ""idaq_12"": ""7""}"
b58213a3420b4a3a8fe4b53fbbee610f,q_pre_2050,100,21,female,2026-03-06T10:18:29.587,2026-03-06T10:20:37.569,127.982,,,,,,,,,,,,submit,"{""2050_crime"": ""9"", ""2050_nursing_home"": ""8"", ""2050_police"": ""3"", ""2050_shelters"": ""3"", ""2050_rubbish_collectors"": ""9"", ""2050_mannequins"": ""3"", ""2050_sports"": ""2"", ""2050_art"": ""4"", ""2050_experiments"": ""4"", ""2050_neurosurgery"": ""2"", ""2050_hiking"": ""2"", ""2050_flight_attendants"": ""4"", ""2050_other_worlds"": ""7"", ""2050_school"": ""4"", ""2050_rights"": ""2""}"
b58213a3420b4a3a8fe4b53fbbee610f,q_post_gators,100,21,female,2026-03-06T10:20:37.579,2026-03-06T10:22:41.702,124.123,,,,,,,,,,,,submit,"{""gators_20"": ""4"", ""gators_11"": ""6"", ""gators_16"": ""4"", ""gators_10"": ""6"", ""gators_14"": ""4"", ""gators_4"": ""4"", ""gators_18"": ""3"", ""gators_7"": ""4"", ""gators_6"": ""5"", ""gators_19"": ""4"", ""gators_12"": ""6"", ""gators_17"": ""4"", ""gators_15"": ""6"", ""gators_2"": ""4"", ""gators_5"": ""4"", ""gators_13"": ""6"", ""gators_9"": ""5"", ""gators_8"": ""5"", ""gators_1"": ""5"", ""gators_3"": ""5""}"
b58213a3420b4a3a8fe4b53fbbee610f,q_post_specific,100,21,female,2026-03-06T10:22:41.711,2026-03-06T10:23:36.828,55.117,,,,,,,,,,,,submit,"{""mentacy_belief"": ""0"", ""belief_confidence"": ""4"", ""robot_likeability"": ""4"", ""conversation_interestingness"": ""4"", ""robot_friendliness"": ""4"", ""robot_empathy"": ""4""}"
b58213a3420b4a3a8fe4b53fbbee610f,captcha_post,100,21,female,2026-03-06T10:24:18.374,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
b58213a3420b4a3a8fe4b53fbbee610f,captcha_post,100,21,female,2026-03-06T10:24:18.398,2026-03-06T10:24:19.583,1.185,1,,Click on the images containing bicycles.,"[""Stair (1012).jpg"", ""Bicycle (743).jpg"", ""Hydrant (114).jpg"", ""Bicycle (143).jpg"", ""Chimney (28).jpg"", ""Bicycle (547).jpg"", ""Bicycle (273).jpg"", ""Hydrant (125).jpg"", ""Stair (1401).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D""]",[],[],776,0,0,1000,escape,"{""status"": ""incomplete"", ""reason"": ""escape_key"", ""had_active_captcha"": true}"
b58213a3420b4a3a8fe4b53fbbee610f,captcha_post,100,21,female,2026-03-06T10:24:18.398,2026-03-06T10:24:19.588,1.19,1,,Click on the images containing bicycles.,[],[],[],[],776,0,0,1000,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
6d4ce20abc50423ba5018332be613894,captcha_pre,102,23,female,2026-03-06T10:52:40.618,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
6d4ce20abc50423ba5018332be613894,captcha_pre,102,23,female,2026-03-06T10:52:40.656,2026-03-06T10:53:01.431,20.775,1,1,Click on the images containing bicycles.,"[""Bicycle (169).jpg"", ""Hydrant (105).jpg"", ""Hydrant (39).jpg"", ""Bicycle (184).jpg"", ""Bicycle (103).jpg"", ""Bicycle (113).jpg"", ""Car (78).jpg"", ""Stair (594).jpg"", ""Tlight (46).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D""]","[0, 3, 4, 5]","[""Bicycle (169).jpg"", ""Bicycle (184).jpg"", ""Bicycle (103).jpg"", ""Bicycle (113).jpg""]",776,1,1,10,submit,
6d4ce20abc50423ba5018332be613894,captcha_pre,102,23,female,2026-03-06T10:53:02.440,2026-03-06T10:53:11.398,8.958,2,0,Click on the images containing bicycles.,"[""Bicycle (12).jpg"", ""Chimney (36).jpg"", ""Car (122).jpg"", ""Hydrant (120).jpg"", ""Hydrant (53).jpg"", ""Cross (19).jpg"", ""Bicycle (138).jpg"", ""Bicycle (376).jpg"", ""Bicycle (431).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[0, 5, 6, 7, 8]","[""Bicycle (12).jpg"", ""Cross (19).jpg"", ""Bicycle (138).jpg"", ""Bicycle (376).jpg"", ""Bicycle (431).jpg""]",772,2,1,10,submit,
6d4ce20abc50423ba5018332be613894,captcha_pre,102,23,female,2026-03-06T10:53:13.008,2026-03-06T10:53:26.031,13.023,3,0,Click on the images containing bicycles.,"[""Bus (127).jpg"", ""Chimney (38).jpg"", ""Car (138).jpg"", ""Bicycle (617).jpg"", ""Stair (1245).jpg"", ""Bridge (121).jpg"", ""Cross (113).jpg"", ""Bicycle (760).jpg"", ""Bicycle (553).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[3, 4, 7, 8]","[""Bicycle (617).jpg"", ""Stair (1245).jpg"", ""Bicycle (760).jpg"", ""Bicycle (553).jpg""]",769,3,1,10,submit,
6d4ce20abc50423ba5018332be613894,captcha_pre,102,23,female,2026-03-06T10:53:27.639,2026-03-06T10:53:48.564,20.925,4,1,Click on the images containing bicycles.,"[""Bicycle (249).jpg"", ""Bicycle (37).jpg"", ""Stair (58).jpg"", ""Bicycle (501).jpg"", ""Stair (208).jpg"", ""Cross (71).jpg"", ""Bicycle (759).jpg"", ""Stair (1454).jpg"", ""Bicycle (338).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 1, 3, 6, 8]","[""Bicycle (249).jpg"", ""Bicycle (37).jpg"", ""Bicycle (501).jpg"", ""Bicycle (759).jpg"", ""Bicycle (338).jpg""]",764,4,2,10,submit,
6d4ce20abc50423ba5018332be613894,captcha_pre,102,23,female,2026-03-06T10:53:49.572,2026-03-06T10:53:56.631,7.059,5,1,Click on the images containing bicycles.,"[""Bicycle (194).jpg"", ""Palm (136).jpg"", ""Bicycle (709).jpg"", ""Stair (989).jpg"", ""Bicycle (216).jpg"", ""Bus (106).jpg"", ""Bicycle (512).jpg"", ""Bicycle (729).jpg"", ""Bridge (129).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D""]","[0, 2, 4, 6, 7]","[""Bicycle (194).jpg"", ""Bicycle (709).jpg"", ""Bicycle (216).jpg"", ""Bicycle (512).jpg"", ""Bicycle (729).jpg""]",759,5,3,10,submit,
6d4ce20abc50423ba5018332be613894,captcha_pre,102,23,female,2026-03-06T10:53:57.639,2026-03-06T10:54:05.013,7.374,6,1,Click on the images containing bicycles.,"[""Bicycle (93).jpg"", ""Bicycle (177).jpg"", ""Bicycle (744).jpg"", ""Bridge (114).jpg"", ""Hydrant (57).jpg"", ""Stair (1461).jpg"", ""Hydrant (44).jpg"", ""Chimney (81).jpg"", ""Bicycle (453).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 2, 8]","[""Bicycle (93).jpg"", ""Bicycle (177).jpg"", ""Bicycle (744).jpg"", ""Bicycle (453).jpg""]",755,6,4,10,submit,
6d4ce20abc50423ba5018332be613894,captcha_pre,102,23,female,2026-03-06T10:54:06.021,2026-03-06T10:54:11.863,5.842,7,1,Click on the images containing bicycles.,"[""Cross (112).jpg"", ""Hydrant (58).jpg"", ""Bicycle (192).jpg"", ""Bridge (35).jpg"", ""Bridge (131).jpg"", ""Bicycle (449).jpg"", ""Bicycle (681).jpg"", ""Bicycle (152).jpg"", ""Stair (165).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D""]","[2, 5, 6, 7]","[""Bicycle (192).jpg"", ""Bicycle (449).jpg"", ""Bicycle (681).jpg"", ""Bicycle (152).jpg""]",751,7,5,10,submit,
6d4ce20abc50423ba5018332be613894,captcha_pre,102,23,female,2026-03-06T10:54:12.872,2026-03-06T10:54:20.630,7.758,8,1,Click on the images containing bicycles.,"[""Bicycle (339).jpg"", ""Bicycle (335).jpg"", ""Tlight (63).jpg"", ""Palm (141).jpg"", ""Chimney (91).jpg"", ""Bicycle (223).jpg"", ""Chimney (47).jpg"", ""Chimney (79).jpg"", ""Cross (31).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 1, 5]","[""Bicycle (339).jpg"", ""Bicycle (335).jpg"", ""Bicycle (223).jpg""]",748,8,6,10,submit,
6d4ce20abc50423ba5018332be613894,captcha_pre,102,23,female,2026-03-06T10:54:21.638,2026-03-06T10:54:36.363,14.725,9,1,Click on the images containing bicycles.,"[""Bicycle (275).jpg"", ""Stair (253).jpg"", ""Hydrant (70).jpg"", ""Bicycle (474).jpg"", ""Cross (96).jpg"", ""Bus (102).jpg"", ""Bicycle (713).jpg"", ""Bicycle (372).jpg"", ""Cross (23).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 3, 6, 7]","[""Bicycle (275).jpg"", ""Bicycle (474).jpg"", ""Bicycle (713).jpg"", ""Bicycle (372).jpg""]",744,9,7,10,submit,
6d4ce20abc50423ba5018332be613894,captcha_pre,102,23,female,2026-03-06T10:54:37.371,2026-03-06T10:54:44.864,7.493,10,1,Click on the images containing bicycles.,"[""Bicycle (289).jpg"", ""Stair (861).jpg"", ""Stair (1052).jpg"", ""Bicycle (323).jpg"", ""Cross (7).jpg"", ""Bicycle (433).jpg"", ""Bicycle (346).jpg"", ""Tlight (4).jpg"", ""Palm (73).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 3, 5, 6]","[""Bicycle (289).jpg"", ""Bicycle (323).jpg"", ""Bicycle (433).jpg"", ""Bicycle (346).jpg""]",740,10,8,10,submit,
6d4ce20abc50423ba5018332be613894,captcha_pre,102,23,female,2026-03-06T10:54:45.872,2026-03-06T10:54:58.597,12.725,11,1,Click on the images containing bicycles.,"[""Bicycle (491).jpg"", ""Cross (59).jpg"", ""Chimney (86).jpg"", ""Stair (216).jpg"", ""Bus (100).jpg"", ""Tlight (88).jpg"", ""Bicycle (7).jpg"", ""Car (76).jpg"", ""Bicycle (104).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 6, 8]","[""Bicycle (491).jpg"", ""Bicycle (7).jpg"", ""Bicycle (104).jpg""]",737,11,9,10,submit,
6d4ce20abc50423ba5018332be613894,captcha_pre,102,23,female,2026-03-06T10:54:59.605,2026-03-06T10:55:08.546,8.941,12,1,Click on the images containing bicycles.,"[""Chimney (106).jpg"", ""Bicycle (469).jpg"", ""Bicycle (197).jpg"", ""Hydrant (46).jpg"", ""Bridge (98).jpg"", ""Bicycle (576).jpg"", ""Hydrant (26).jpg"", ""Bus (139).jpg"", ""Tlight (16).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D""]","[1, 2, 5]","[""Bicycle (469).jpg"", ""Bicycle (197).jpg"", ""Bicycle (576).jpg""]",734,12,10,10,submit,
6d4ce20abc50423ba5018332be613894,captcha_pre,102,23,female,2026-03-06T10:54:59.605,2026-03-06T10:55:09.558,9.953,12,,Click on the images containing bicycles.,[],[],[],[],734,12,10,10,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
6d4ce20abc50423ba5018332be613894,q_pre_captcha,102,23,female,2026-03-06T10:55:09.573,2026-03-06T10:55:39.532,29.959,,,,,,,,,,,,submit,"{""general_captcha_liking"": ""2"", ""captcha_task_meaningfulness"": ""2"", ""captcha_task_fun"": ""3"", ""captcha_task_enjoyment"": ""4"", ""captcha_task_difficulty"": ""5""}"
6d4ce20abc50423ba5018332be613894,q_pre_idaq,102,23,female,2026-03-06T10:55:39.548,2026-03-06T11:00:21.180,281.632,,,,,,,,,,,,submit,"{""idaq_13"": ""1"", ""idaq_22"": ""6"", ""idaq_28"": ""10"", ""idaq_10"": ""1"", ""idaq_26"": ""1"", ""idaq_25"": ""7"", ""idaq_16"": ""8"", ""idaq_23"": ""1"", ""idaq_21"": ""2"", ""idaq_6"": ""8"", ""idaq_17"": ""3"", ""idaq_20"": ""6"", ""idaq_30"": ""4"", ""idaq_29"": ""5"", ""idaq_11"": ""1"", ""idaq_27"": ""7"", ""idaq_14"": ""1"", ""idaq_18"": ""3"", ""idaq_5"": ""1"", ""idaq_2"": ""5"", ""idaq_15"": ""5"", ""idaq_1"": ""3"", ""idaq_9"": ""1"", ""idaq_12"": ""6"", ""idaq_3"": ""1"", ""idaq_4"": ""5"", ""idaq_19"": ""9"", ""idaq_24"": ""7"", ""idaq_8"": ""5"", ""idaq_7"": ""1""}"
6d4ce20abc50423ba5018332be613894,q_pre_2050,102,23,female,2026-03-06T11:00:21.195,2026-03-06T11:02:51.064,149.869,,,,,,,,,,,,submit,"{""2050_crime"": ""8"", ""2050_rights"": ""7"", ""2050_school"": ""3"", ""2050_flight_attendants"": ""6"", ""2050_rubbish_collectors"": ""7"", ""2050_mannequins"": ""1"", ""2050_art"": ""3"", ""2050_experiments"": ""4"", ""2050_hiking"": ""1"", ""2050_police"": ""4"", ""2050_other_worlds"": ""8"", ""2050_sports"": ""1"", ""2050_nursing_home"": ""4"", ""2050_shelters"": ""1"", ""2050_neurosurgery"": ""7""}"
6d4ce20abc50423ba5018332be613894,q_post_gators,102,23,female,2026-03-06T11:14:52.718,2026-03-06T11:18:18.722,206.004,,,,,,,,,,,,submit,"{""gators_6"": ""4"", ""gators_8"": ""3"", ""gators_2"": ""1"", ""gators_1"": ""3"", ""gators_11"": ""6"", ""gators_5"": ""3"", ""gators_13"": ""5"", ""gators_10"": ""7"", ""gators_9"": ""2"", ""gators_19"": ""6"", ""gators_14"": ""6"", ""gators_20"": ""7"", ""gators_17"": ""7"", ""gators_12"": ""6"", ""gators_7"": ""6"", ""gators_18"": ""5"", ""gators_15"": ""5"", ""gators_3"": ""4"", ""gators_16"": ""6"", ""gators_4"": ""6""}"
6d4ce20abc50423ba5018332be613894,q_post_specific,102,23,female,2026-03-06T11:18:18.740,2026-03-06T11:18:49.535,30.795,,,,,,,,,,,,submit,"{""mentacy_belief"": ""0"", ""belief_confidence"": ""7"", ""robot_empathy"": ""2"", ""robot_friendliness"": ""6"", ""conversation_interestingness"": ""6"", ""robot_likeability"": ""6""}"
6d4ce20abc50423ba5018332be613894,captcha_post,102,23,female,2026-03-06T11:18:55.822,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
6d4ce20abc50423ba5018332be613894,captcha_post,102,23,female,2026-03-06T11:18:55.849,2026-03-06T11:19:03.034,7.185,1,1,Click on the images containing bicycles.,"[""Bus (88).jpg"", ""Cross (74).jpg"", ""Palm (53).jpg"", ""Car (106).jpg"", ""Bicycle (175).jpg"", ""Bicycle (279).jpg"", ""Bicycle (180).jpg"", ""Stair (1456).jpg"", ""Bus (77).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[4, 5, 6]","[""Bicycle (175).jpg"", ""Bicycle (279).jpg"", ""Bicycle (180).jpg""]",777,1,1,1000,submit,
6d4ce20abc50423ba5018332be613894,captcha_post,102,23,female,2026-03-06T11:19:04.041,2026-03-06T11:19:08.983,4.942,2,1,Click on the images containing bicycles.,"[""Chimney (95).jpg"", ""Bicycle (522).jpg"", ""Cross (103).jpg"", ""Stair (383).jpg"", ""Chimney (96).jpg"", ""Bicycle (101).jpg"", ""Palm (6).jpg"", ""Bicycle (768).jpg"", ""Bicycle (56).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[1, 5, 7, 8]","[""Bicycle (522).jpg"", ""Bicycle (101).jpg"", ""Bicycle (768).jpg"", ""Bicycle (56).jpg""]",773,2,2,1000,submit,
6d4ce20abc50423ba5018332be613894,captcha_post,102,23,female,2026-03-06T11:19:09.991,2026-03-06T11:19:14.598,4.607,3,0,Click on the images containing bicycles.,"[""Bicycle (396).jpg"", ""Stair (951).jpg"", ""Bicycle (438).jpg"", ""Hydrant (38).jpg"", ""Bicycle (369).jpg"", ""Palm (123).jpg"", ""Bicycle (588).jpg"", ""Bridge (94).jpg"", ""Hydrant (98).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 2, 4]","[""Bicycle (396).jpg"", ""Bicycle (438).jpg"", ""Bicycle (369).jpg""]",769,3,2,1000,submit,
6d4ce20abc50423ba5018332be613894,captcha_post,102,23,female,2026-03-06T11:19:16.206,2026-03-06T11:19:22.999,6.793,4,1,Click on the images containing bicycles.,"[""Bicycle (735).jpg"", ""Bicycle (171).jpg"", ""Bicycle (459).jpg"", ""Bicycle (512).jpg"", ""Bus (86).jpg"", ""Tlight (122).jpg"", ""Chimney (86).jpg"", ""Bicycle (509).jpg"", ""Palm (49).jpg""]","[""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 2, 3, 7]","[""Bicycle (735).jpg"", ""Bicycle (171).jpg"", ""Bicycle (459).jpg"", ""Bicycle (512).jpg"", ""Bicycle (509).jpg""]",764,4,3,1000,submit,
6d4ce20abc50423ba5018332be613894,captcha_post,102,23,female,2026-03-06T11:19:24.007,2026-03-06T11:19:28.400,4.393,5,1,Click on the images containing bicycles.,"[""Tlight (118).jpg"", ""Bicycle (565).jpg"", ""Bicycle (184).jpg"", ""Bicycle (35).jpg"", ""Chimney (31).jpg"", ""Palm (109).jpg"", ""Hydrant (47).jpg"", ""Chimney (74).jpg"", ""Hydrant (100).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D""]","[1, 2, 3]","[""Bicycle (565).jpg"", ""Bicycle (184).jpg"", ""Bicycle (35).jpg""]",761,5,4,1000,submit,
